id,weight,spec,outside
1,128,80p,0
2,71,140p,0
3,102,100p,0
4,103,100p,0
5,82,120p,0
6,349,30p,0
7,147,70p,0
8,266,35p,0
9,172,60p,0
10,354,30p,0
11,135,70p,0
12,467,20p,0
13,67,150p,0
14,490,20p,0
15,72,140p,0
16,101,100p,0
17,72,140p,0
18,68,150p,0
19,75,130p,0
20,95,110p,0
21,89,110p,0
22,122,80p,0
23,82,120p,0
24,237,40p,0
25,142,70p,0
26,362,30p,0
27,217,45p,0
28,104,100p,0
29,115,90p,0
30,607,15p,0
31,353,30p,0
32,299,35p,0
33,163,60p,0
34,113,90p,0
35,480,20p,0
36,390,25p,0
37,179,60p,0
38,224,45p,0
39,112,90p,0
40,75,130p,0
41,66,150p,0
42,172,60p,0
43,415,25p,0
44,124,80p,0
45,305,35p,0
46,204,50p,0
47,230,45p,0
48,216,45p,0
49,242,40p,0
50,550,20p,0
51,75,130p,0
52,66,150p,0
53,343,30p,0
54,269,35p,0
55,227,45p,0
56,80,120p,0
57,98,100p,0
58,671,15p,0
59,65,150p,0
60,572,15p,0
61,565,20p,0
62,249,40p,0
63,196,50p,0
64,184,50p,0
65,144,70p,0
66,82,120p,0
67,266,35p,0
68,77,130p,0
69,226,45p,0
70,76,130p,0
71,199,50p,0
72,106,90p,0
73,79,130p,0
74,248,40p,0
75,232,40p,0
76,279,35p,0
77,81,120p,0
78,180,60p,0
79,366,25p,0
80,69,140p,0
81,95,110p,0
82,67,150p,0
83,197,50p,0
84,108,90p,0
85,112,90p,0
86,129,80p,0
87,228,45p,0
88,135,70p,0
89,273,35p,0
90,142,70p,0
91,554,20p,0
92,184,50p,0
93,118,80p,0
94,164,60p,0
95,526,20p,0
96,90,110p,0
97,179,60p,0
98,408,25p,0
99,153,60p,0
100,65,150p,0
101,344,30p,0
102,107,90p,0
103,426,25p,0
104,115,90p,0
105,95,110p,0
106,218,45p,0
107,462,20p,0
108,141,70p,0
109,71,140p,0
110,341,30p,0
111,145,70p,0
112,70,140p,0
113,77,130p,0
114,144,70p,0
115,83,120p,0
116,72,140p,0
117,555,20p,0
118,67,150p,0
119,221,45p,0
120,74,130p,0
121,265,40p,0
122,556,20p,0
123,454,20p,0
