id,weight,spec,outside
1,234,40p,0
2,601,15p,0
3,289,35p,0
4,304,35p,0
5,261,40p,0
6,442,25p,0
7,178,60p,0
8,467,20p,0
9,244,40p,0
10,649,15p,0
11,251,40p,0
12,695,15p,0
13,176,60p,0
14,252,40p,0
15,176,60p,0
16,360,30p,0
17,361,30p,0
18,320,30p,0
19,346,30p,0
20,542,20p,0
21,845,,1
22,493,20p,0
23,332,30p,0
24,299,35p,0
25,495,20p,0
26,692,15p,0
27,173,60p,0
28,274,35p,0
29,491,20p,0
30,239,40p,0
31,239,40p,0
32,246,40p,0
33,356,30p,0
34,353,30p,0
35,283,35p,0
36,348,30p,0
37,674,15p,0
38,159,60p,0
39,234,40p,0
40,320,30p,0
41,443,25p,0
42,309,30p,0
43,461,20p,0
44,238,40p,0
45,282,35p,0
46,301,35p,0
47,603,15p,0
48,498,20p,0
49,178,60p,0
50,559,20p,0
51,475,20p,0
52,611,15p,0
53,351,30p,0
54,441,25p,0
55,553,20p,0
56,414,25p,0
57,371,25p,0
58,291,35p,0
59,261,40p,0
60,247,40p,0
61,492,20p,0
62,693,15p,0
63,645,15p,0
64,367,25p,0
65,241,40p,0
66,569,15p,0
67,505,20p,0
68,169,60p,0
69,431,25p,0
70,234,40p,0
71,250,40p,0
72,163,60p,0
73,611,15p,0
74,341,30p,0
75,517,20p,0
76,456,20p,0
77,232,40p,0
78,491,20p,0
79,309,30p,0
80,241,40p,0
81,602,15p,0
82,314,30p,0
83,592,15p,0
84,385,25p,0
85,247,40p,0
86,290,35p,0
87,176,60p,0
88,419,25p,0
89,336,30p,0
90,331,30p,0
91,497,20p,0
92,356,30p,0
93,178,60p,0
94,243,40p,0
95,155,60p,0
96,315,30p,0
97,356,30p,0
98,306,30p,0
99,242,40p,0
100,568,15p,0
101,173,60p,0
102,676,15p,0
103,578,15p,0
104,432,25p,0
105,410,25p,0
106,436,25p,0
107,165,60p,0
108,777,,1
109,248,40p,0
110,312,30p,0
111,181,60p,0
112,165,60p,0
113,698,15p,0
114,243,40p,0
115,398,25p,0
116,162,60p,0
117,173,60p,0
118,490,20p,0
119,253,40p,0
120,692,15p,0
121,305,35p,0
122,582,15p,0
123,245,40p,0
124,277,35p,0
125,166,60p,0
126,266,35p,0
127,310,30p,0
128,330,30p,0
129,680,15p,0
130,300,35p,0
131,557,20p,0
132,662,15p,0
133,359,30p,0
134,385,25p,0
135,415,25p,0
136,307,30p,0
137,253,40p,0
138,615,15p,0
139,346,30p,0
140,562,20p,0
141,349,30p,0
142,627,15p,0
143,553,20p,0
144,167,60p,0
145,428,25p,0
146,166,60p,0
147,376,25p,0
148,286,35p,0
149,539,20p,0
150,174,60p,0
151,375,25p,0
152,253,40p,0
153,635,15p,0
154,246,40p,0
155,348,30p,0
156,259,40p,0
157,180,60p,0
158,171,60p,0
159,562,20p,0
160,321,30p,0
161,261,40p,0
162,408,25p,0
163,587,15p,0
164,509,20p,0
165,156,60p,0
166,649,15p,0
167,179,60p,0
168,237,40p,0
169,264,40p,0
170,170,60p,0
171,433,25p,0
172,425,25p,0
173,255,40p,0
174,278,35p,0
175,353,30p,0
