id,weight,spec,outside
1,283,35p,0
2,352,30p,0
3,437,25p,0
4,409,25p,0
5,622,15p,0
6,631,15p,0
7,585,15p,0
8,247,40p,0
9,297,35p,0
10,529,20p,0
11,355,30p,0
12,284,35p,0
13,375,25p,0
14,352,30p,0
15,451,20p,0
16,364,30p,0
17,613,15p,0
18,350,30p,0
19,326,30p,0
20,395,25p,0
21,480,20p,0
22,348,30p,0
23,400,25p,0
24,379,25p,0
25,294,35p,0
26,489,20p,0
27,244,40p,0
28,643,15p,0
29,239,40p,0
30,317,30p,0
31,396,25p,0
32,478,20p,0
33,454,20p,0
34,324,30p,0
35,287,35p,0
36,307,30p,0
37,267,35p,0
38,555,20p,0
39,316,30p,0
40,440,25p,0
41,333,30p,0
42,255,40p,0
43,275,35p,0
44,548,20p,0
45,658,15p,0
46,406,25p,0
47,428,25p,0
48,529,20p,0
49,509,20p,0
50,266,35p,0
51,333,30p,0
52,382,25p,0
53,255,40p,0
54,357,30p,0
55,237,40p,0
56,607,15p,0
57,495,20p,0
58,649,15p,0
59,256,40p,0
60,391,25p,0
61,695,15p,0
62,384,25p,0
63,587,15p,0
64,283,35p,0
65,268,35p,0
66,555,20p,0
67,237,40p,0
68,599,15p,0
69,629,15p,0
70,453,20p,0
71,498,20p,0
72,692,15p,0
73,330,30p,0
74,425,25p,0
75,632,15p,0
76,602,15p,0
77,487,20p,0
78,459,20p,0
79,423,25p,0
80,405,25p,0
81,231,40p,0
82,260,40p,0
83,286,35p,0
84,249,40p,0
85,264,40p,0
86,509,20p,0
87,292,35p,0
88,288,35p,0
89,234,40p,0
90,556,20p,0
91,392,25p,0
92,269,35p,0
93,552,20p,0
94,496,20p,0
95,328,30p,0
96,535,20p,0
97,291,35p,0
98,388,25p,0
99,423,25p,0
100,328,30p,0
101,404,25p,0
102,362,30p,0
103,652,15p,0
104,746,,1
105,381,25p,0
106,468,20p,0
107,472,20p,0
108,335,30p,0
109,280,35p,0
110,327,30p,0
111,261,40p,0
112,375,25p,0
113,420,25p,0
114,354,30p,0
115,303,35p,0
116,388,25p,0
117,546,20p,0
118,262,40p,0
119,383,25p,0
120,265,40p,0
121,678,15p,0
122,413,25p,0
123,442,25p,0
124,285,35p,0
125,562,20p,0
126,656,15p,0
127,559,20p,0
128,363,30p,0
129,301,35p,0
130,436,25p,0
131,612,15p,0
132,430,25p,0
133,279,35p,0
134,312,30p,0
135,278,35p,0
136,454,20p,0
137,286,35p,0
138,320,30p,0
139,360,30p,0
140,298,35p,0
141,448,20p,0
142,233,40p,0
143,670,15p,0
144,271,35p,0
145,669,15p,0
146,267,35p,0
147,693,15p,0
148,680,15p,0
149,231,40p,0
150,422,25p,0
151,365,30p,0
152,269,35p,0
153,572,15p,0
154,260,40p,0
155,426,25p,0
156,259,40p,0
157,417,25p,0
158,667,15p,0
159,424,25p,0
160,348,30p,0
161,336,30p,0
162,261,40p,0
163,609,15p,0
164,398,25p,0
165,610,15p,0
166,278,35p,0
167,665,15p,0
168,435,25p,0
169,512,20p,0
170,365,30p,0
171,490,20p,0
172,494,20p,0
173,595,15p,0
174,459,20p,0
175,307,30p,0
176,369,25p,0
177,279,35p,0
178,290,35p,0
179,309,30p,0
180,428,25p,0
181,263,40p,0
182,559,20p,0
183,301,35p,0
184,245,40p,0
185,263,40p,0
186,575,15p,0
187,502,20p,0
188,272,35p,0
189,411,25p,0
190,274,35p,0
191,264,40p,0
192,359,30p,0
193,251,40p,0
194,305,35p,0
195,244,40p,0
196,308,30p,0
197,325,30p,0
198,436,25p,0
199,426,25p,0
200,304,35p,0
201,249,40p,0
202,432,25p,0
203,658,15p,0
204,586,15p,0
205,655,15p,0
206,303,35p,0
207,626,15p,0
208,263,40p,0
209,413,25p,0
210,385,25p,0
211,694,15p,0
212,318,30p,0
213,297,35p,0
214,568,15p,0
215,554,20p,0
216,377,25p,0
217,283,35p,0
218,436,25p,0
219,242,40p,0
220,672,15p,0
221,302,35p,0
222,423,25p,0
223,502,20p,0
224,485,20p,0
225,306,30p,0
226,328,30p,0
227,522,20p,0
228,243,40p,0
229,562,20p,0
230,607,15p,0
231,655,15p,0
232,517,20p,0
233,497,20p,0
234,274,35p,0
235,301,35p,0
236,247,40p,0
237,511,20p,0
238,544,20p,0
239,266,35p,0
240,353,30p,0
241,698,15p,0
242,277,35p,0
243,482,20p,0
244,377,25p,0
245,283,35p,0
246,499,20p,0
247,445,25p,0
248,343,30p,0
249,541,20p,0
250,415,25p,0
251,362,30p,0
252,374,25p,0
253,620,15p,0
254,354,30p,0
255,695,15p,0
256,443,25p,0
257,573,15p,0
258,435,25p,0
259,265,40p,0
260,574,15p,0
261,557,20p,0
262,303,35p,0
263,305,35p,0
264,806,,1
265,665,15p,0
266,487,20p,0
267,334,30p,0
268,493,20p,0
269,264,40p,0
270,500,20p,0
271,362,30p,0
272,467,20p,0
273,236,40p,0
274,328,30p,0
275,599,15p,0
276,579,15p,0
277,340,30p,0
278,417,25p,0
279,318,30p,0
280,278,35p,0
281,286,35p,0
282,266,35p,0
283,303,35p,0
284,350,30p,0
285,679,15p,0
286,354,30p,0
287,341,30p,0
288,269,35p,0
289,379,25p,0
290,426,25p,0
291,432,25p,0
292,499,20p,0
293,299,35p,0
294,448,20p,0
295,647,15p,0
296,546,20p,0
297,277,35p,0
298,246,40p,0
299,388,25p,0
300,370,25p,0
301,418,25p,0
302,271,35p,0
303,249,40p,0
304,383,25p,0
305,254,40p,0
306,444,25p,0
307,653,15p,0
308,374,25p,0
309,313,30p,0
310,688,15p,0
311,331,30p,0
312,333,30p,0
313,406,25p,0
314,512,20p,0
315,321,30p,0
316,360,30p,0
317,295,35p,0
318,682,15p,0
319,575,15p,0
320,286,35p,0
321,690,15p,0
322,315,30p,0
323,319,30p,0
324,316,30p,0
325,536,20p,0
326,372,25p,0
327,233,40p,0
328,269,35p,0
329,453,20p,0
330,264,40p,0
331,504,20p,0
332,348,30p,0
333,259,40p,0
334,241,40p,0
335,249,40p,0
336,231,40p,0
337,331,30p,0
338,390,25p,0
