id,weight,spec,outside
1,258,40p,0
2,265,40p,0
3,488,20p,0
4,254,40p,0
5,549,20p,0
6,625,15p,0
7,245,40p,0
8,245,40p,0
9,654,15p,0
10,237,40p,0
11,690,15p,0
12,485,20p,0
13,370,25p,0
14,154,60p,0
15,174,60p,0
16,259,40p,0
17,178,60p,0
18,633,15p,0
19,553,20p,0
20,503,20p,0
21,485,20p,0
22,398,25p,0
23,255,40p,0
24,636,15p,0
25,237,40p,0
26,165,60p,0
27,256,40p,0
28,243,40p,0
29,180,60p,0
30,479,20p,0
31,511,20p,0
32,611,15p,0
33,242,40p,0
34,564,20p,0
35,178,60p,0
36,180,60p,0
37,455,20p,0
38,366,25p,0
39,651,15p,0
40,172,60p,0
41,231,40p,0
42,404,25p,0
43,259,40p,0
44,181,60p,0
45,478,20p,0
46,402,25p,0
47,386,25p,0
48,500,20p,0
49,264,40p,0
50,167,60p,0
51,158,60p,0
52,377,25p,0
53,600,15p,0
54,160,60p,0
55,506,20p,0
56,579,15p,0
57,637,15p,0
58,176,60p,0
59,255,40p,0
60,435,25p,0
61,233,40p,0
62,633,15p,0
63,651,15p,0
64,513,20p,0
65,421,25p,0
66,410,25p,0
67,177,60p,0
68,534,20p,0
69,499,20p,0
70,445,25p,0
71,233,40p,0
72,253,40p,0
73,603,15p,0
74,421,25p,0
75,415,25p,0
76,711,,1
77,612,15p,0
78,503,20p,0
79,540,20p,0
80,444,25p,0
81,523,20p,0
82,578,15p,0
83,153,60p,0
84,243,40p,0
85,576,15p,0
86,490,20p,0
87,177,60p,0
88,599,15p,0
89,176,60p,0
90,386,25p,0
91,248,40p,0
92,153,60p,0
93,501,20p,0
94,423,25p,0
95,245,40p,0
96,487,20p,0
97,178,60p,0
98,379,25p,0
99,392,25p,0
100,378,25p,0
101,605,15p,0
102,623,15p,0
103,174,60p,0
104,257,40p,0
105,404,25p,0
106,387,25p,0
107,491,20p,0
108,404,25p,0
109,161,60p,0
110,493,20p,0
111,257,40p,0
112,240,40p,0
113,483,20p,0
114,679,15p,0
115,394,25p,0
116,432,25p,0
117,529,20p,0
118,182,60p,0
119,390,25p,0
120,155,60p,0
121,167,60p,0
122,515,20p,0
123,371,25p,0
124,263,40p,0
125,377,25p,0
126,240,40p,0
127,239,40p,0
128,696,15p,0
129,155,60p,0
130,437,25p,0
131,528,20p,0
132,662,15p,0
133,153,60p,0
134,411,25p,0
135,174,60p,0
136,675,15p,0
137,683,15p,0
138,395,25p,0
139,257,40p,0
140,404,25p,0
141,532,20p,0
142,601,15p,0
143,249,40p,0
144,389,25p,0
145,263,40p,0
146,250,40p,0
147,234,40p,0
148,552,20p,0
149,233,40p,0
150,171,60p,0
151,388,25p,0
152,242,40p,0
153,613,15p,0
154,242,40p,0
155,168,60p,0
156,683,15p,0
157,429,25p,0
158,176,60p,0
159,241,40p,0
160,259,40p,0
161,466,20p,0
162,163,60p,0
163,474,20p,0
164,438,25p,0
165,242,40p,0
166,535,20p,0
167,162,60p,0
168,369,25p,0
169,374,25p,0
170,599,15p,0
171,522,20p,0
172,173,60p,0
173,246,40p,0
174,245,40p,0
175,376,25p,0
176,545,20p,0
177,180,60p,0
178,370,25p,0
179,169,60p,0
180,265,40p,0
181,176,60p,0
182,160,60p,0
183,239,40p,0
184,176,60p,0
185,499,20p,0
186,162,60p,0
187,240,40p,0
188,233,40p,0
189,161,60p,0
190,569,15p,0
191,260,40p,0
192,236,40p,0
193,640,15p,0
194,443,25p,0
195,249,40p,0
196,589,15p,0
197,585,15p,0
198,382,25p,0
199,180,60p,0
200,415,25p,0
201,548,20p,0
202,174,60p,0
203,172,60p,0
204,254,40p,0
205,162,60p,0
206,402,25p,0
207,419,25p,0
208,176,60p,0
209,256,40p,0
210,177,60p,0
211,686,15p,0
212,613,15p,0
213,166,60p,0
214,571,15p,0
215,666,15p,0
