id,weight,spec,outside
1,76,130p,0
2,74,130p,0
3,249,40p,0
4,193,50p,0
5,192,50p,0
6,578,15p,0
7,76,130p,0
8,76,130p,0
9,92,110p,0
10,202,50p,0
11,377,25p,0
12,204,50p,0
13,265,40p,0
14,249,40p,0
15,257,40p,0
16,203,50p,0
17,95,110p,0
18,93,110p,0
19,257,40p,0
20,255,40p,0
21,80,120p,0
22,264,40p,0
23,232,40p,0
24,186,50p,0
25,77,130p,0
26,82,120p,0
27,171,60p,0
28,394,25p,0
29,92,110p,0
30,436,25p,0
31,205,50p,0
32,84,120p,0
33,407,25p,0
34,95,110p,0
35,173,60p,0
36,77,130p,0
37,412,25p,0
38,243,40p,0
39,75,130p,0
40,88,110p,0
41,607,15p,0
42,161,60p,0
43,84,120p,0
44,83,120p,0
45,158,60p,0
46,392,25p,0
47,231,40p,0
48,158,60p,0
49,89,110p,0
50,582,15p,0
51,178,60p,0
52,93,110p,0
53,682,15p,0
54,94,110p,0
55,171,60p,0
56,397,25p,0
57,95,110p,0
58,196,50p,0
59,605,15p,0
60,164,60p,0
61,426,25p,0
62,90,110p,0
63,636,15p,0
64,161,60p,0
65,648,15p,0
66,76,130p,0
67,645,15p,0
68,82,120p,0
69,418,25p,0
70,87,110p,0
71,366,25p,0
72,248,40p,0
73,77,130p,0
74,198,50p,0
75,255,40p,0
76,249,40p,0
77,95,110p,0
78,203,50p,0
79,180,60p,0
80,155,60p,0
81,86,120p,0
82,615,15p,0
83,76,130p,0
84,80,120p,0
85,86,120p,0
86,609,15p,0
87,155,60p,0
88,596,15p,0
89,79,130p,0
90,81,120p,0
91,623,15p,0
92,257,40p,0
93,81,120p,0
94,246,40p,0
95,177,60p,0
96,437,25p,0
97,169,60p,0
98,95,110p,0
99,75,130p,0
100,394,25p,0
101,236,40p,0
102,77,130p,0
103,76,130p,0
104,87,110p,0
105,77,130p,0
106,257,40p,0
107,82,120p,0
108,79,130p,0
109,388,25p,0
110,165,60p,0
111,199,50p,0
112,95,110p,0
113,83,120p,0
114,92,110p,0
115,82,120p,0
116,438,25p,0
117,81,120p,0
118,203,50p,0
119,93,110p,0
120,428,25p,0
121,684,15p,0
122,79,130p,0
123,181,60p,0
124,87,110p,0
125,208,50p,0
126,205,50p,0
127,684,15p,0
128,252,40p,0
129,78,130p,0
130,698,15p,0
131,76,130p,0
132,621,15p,0
133,87,110p,0
134,375,25p,0
135,181,60p,0
136,85,120p,0
137,191,50p,0
138,188,50p,0
139,208,50p,0
140,94,110p,0
141,77,130p,0
142,172,60p,0
143,74,130p,0
144,190,50p,0
145,243,40p,0
146,78,130p,0
147,699,15p,0
148,198,50p,0
149,85,120p,0
150,89,110p,0
151,667,15p,0
152,78,130p,0
153,158,60p,0
154,83,120p,0
155,82,120p,0
156,375,25p,0
157,440,25p,0
158,173,60p,0
159,206,50p,0
160,89,110p,0
161,79,130p,0
162,206,50p,0
163,240,40p,0
164,90,110p,0
165,83,120p,0
166,95,110p,0
167,82,120p,0
168,625,15p,0
169,430,25p,0
170,232,40p,0
171,425,25p,0
172,265,40p,0
173,387,25p,0
174,88,110p,0
175,82,120p,0
176,74,130p,0
177,607,15p,0
178,186,50p,0
179,174,60p,0
180,420,25p,0
181,584,15p,0
182,640,15p,0
183,80,120p,0
184,86,120p,0
185,181,60p,0
186,185,50p,0
187,204,50p,0
188,233,40p,0
189,606,15p,0
190,608,15p,0
191,77,130p,0
192,247,40p,0
193,93,110p,0
194,389,25p,0
195,92,110p,0
196,186,50p,0
197,201,50p,0
198,81,120p,0
199,603,15p,0
200,186,50p,0
201,367,25p,0
202,75,130p,0
203,398,25p,0
204,664,15p,0
205,595,15p,0
206,650,15p,0
207,85,120p,0
208,85,120p,0
209,242,40p,0
210,252,40p,0
211,193,50p,0
212,94,110p,0
213,78,130p,0
214,233,40p,0
215,231,40p,0
216,93,110p,0
217,82,120p,0
218,204,50p,0
219,260,40p,0
220,666,15p,0
221,407,25p,0
222,77,130p,0
223,82,120p,0
224,80,120p,0
225,92,110p,0
226,78,130p,0
227,76,130p,0
228,203,50p,0
229,698,15p,0
230,75,130p,0
231,83,120p,0
232,93,110p,0
233,80,120p,0
234,263,40p,0
235,186,50p,0
236,79,130p,0
237,265,40p,0
238,78,130p,0
239,80,120p,0
240,77,130p,0
241,231,40p,0
242,93,110p,0
243,82,120p,0
244,82,120p,0
245,80,120p,0
246,190,50p,0
247,93,110p,0
248,79,130p,0
249,86,120p,0
250,192,50p,0
251,238,40p,0
252,202,50p,0
253,166,60p,0
254,95,110p,0
255,165,60p,0
256,88,110p,0
257,188,50p,0
258,77,130p,0
259,160,60p,0
260,678,15p,0
261,581,15p,0
262,256,40p,0
263,265,40p,0
264,250,40p,0
265,188,50p,0
266,414,25p,0
267,238,40p,0
268,75,130p,0
269,566,15p,0
270,613,15p,0
271,88,110p,0
272,401,25p,0
273,86,120p,0
274,78,130p,0
275,93,110p,0
276,170,60p,0
277,176,60p,0
278,157,60p,0
279,606,15p,0
280,75,130p,0
281,196,50p,0
282,86,120p,0
283,89,110p,0
284,387,25p,0
285,160,60p,0
286,174,60p,0
287,183,50p,0
288,89,110p,0
289,200,50p,0
290,195,50p,0
291,92,110p,0
292,81,120p,0
293,204,50p,0
294,208,50p,0
295,261,40p,0
296,605,15p,0
297,426,25p,0
298,596,15p,0
299,86,120p,0
300,74,130p,0
301,235,40p,0
302,91,110p,0
303,197,50p,0
304,86,120p,0
305,94,110p,0
306,170,60p,0
307,238,40p,0
308,176,60p,0
309,407,25p,0
310,80,120p,0
311,185,50p,0
312,94,110p,0
313,86,120p,0
314,260,40p,0
315,667,15p,0
316,77,130p,0
317,160,60p,0
318,696,15p,0
319,166,60p,0
320,435,25p,0
321,374,25p,0
322,585,15p,0
323,87,110p,0
324,616,15p,0
325,85,120p,0
326,84,120p,0
327,92,110p,0
328,95,110p,0
329,157,60p,0
330,165,60p,0
331,78,130p,0
332,78,130p,0
333,201,50p,0
334,87,110p,0
335,245,40p,0
336,209,50p,0
337,238,40p,0
338,615,15p,0
339,195,50p,0
340,248,40p,0
341,93,110p,0
342,210,50p,0
343,88,110p,0
344,688,15p,0
345,82,120p,0
346,383,25p,0
347,74,130p,0
348,184,50p,0
349,86,120p,0
350,86,120p,0
351,414,25p,0
352,79,130p,0
353,78,130p,0
354,417,25p,0
355,249,40p,0
356,92,110p,0
357,261,40p,0
358,419,25p,0
359,262,40p,0
360,237,40p,0
361,426,25p,0
362,193,50p,0
363,202,50p,0
364,189,50p,0
365,180,60p,0
366,75,130p,0
367,205,50p,0
368,82,120p,0
369,80,120p,0
370,403,25p,0
371,78,130p,0
372,75,130p,0
373,78,130p,0
374,183,50p,0
375,94,110p,0
376,167,60p,0
377,244,40p,0
378,84,120p,0
379,204,50p,0
380,177,60p,0
381,82,120p,0
382,258,40p,0
383,416,25p,0
384,209,50p,0
385,76,130p,0
386,163,60p,0
387,649,15p,0
388,75,130p,0
389,395,25p,0
390,682,15p,0
391,625,15p,0
392,166,60p,0
393,90,110p,0
394,85,120p,0
395,94,110p,0
396,244,40p,0
397,77,130p,0
398,372,25p,0
399,173,60p,0
400,193,50p,0
401,204,50p,0
402,237,40p,0
403,87,110p,0
404,91,110p,0
405,92,110p,0
406,75,130p,0
407,79,130p,0
408,79,130p,0
409,81,120p,0
410,167,60p,0
411,83,120p,0
412,80,120p,0
413,265,40p,0
414,81,120p,0
415,236,40p,0
416,208,50p,0
417,78,130p,0
418,80,120p,0
419,85,120p,0
420,87,110p,0
421,665,15p,0
422,234,40p,0
423,383,25p,0
424,380,25p,0
425,197,50p,0
426,614,15p,0
427,76,130p,0
428,667,15p,0
429,74,130p,0
430,435,25p,0
431,74,130p,0
432,78,130p,0
433,92,110p,0
434,173,60p,0
435,158,60p,0
436,180,60p,0
437,84,120p,0
438,74,130p,0
439,172,60p,0
440,153,60p,0
441,247,40p,0
442,89,110p,0
443,78,130p,0
444,166,60p,0
445,171,60p,0
446,377,25p,0
447,76,130p,0
448,661,15p,0
449,92,110p,0
450,156,60p,0
451,667,15p,0
452,209,50p,0
453,264,40p,0
454,195,50p,0
455,174,60p,0
456,88,110p,0
457,194,50p,0
458,83,120p,0
459,645,15p,0
460,84,120p,0
461,86,120p,0
462,91,110p,0
463,414,25p,0
464,241,40p,0
465,432,25p,0
466,240,40p,0
467,673,15p,0
468,83,120p,0
469,172,60p,0
470,83,120p,0
471,205,50p,0
472,231,40p,0
473,84,120p,0
474,78,130p,0
475,169,60p,0
476,94,110p,0
477,207,50p,0
478,93,110p,0
479,601,15p,0
480,401,25p,0
481,90,110p,0
482,76,130p,0
483,665,15p,0
484,77,130p,0
485,625,15p,0
486,80,120p,0
487,646,15p,0
488,575,15p,0
489,602,15p,0
490,250,40p,0
491,254,40p,0
492,166,60p,0
493,156,60p,0
494,422,25p,0
495,641,15p,0
496,638,15p,0
497,259,40p,0
498,156,60p,0
499,647,15p,0
500,90,110p,0
501,698,15p,0
502,75,130p,0
503,88,110p,0
504,376,25p,0
505,377,25p,0
506,203,50p,0
507,88,110p,0
508,74,130p,0
509,90,110p,0
510,194,50p,0
511,74,130p,0
512,189,50p,0
513,79,130p,0
514,93,110p,0
515,87,110p,0
516,84,120p,0
517,257,40p,0
518,89,110p,0
519,90,110p,0
520,264,40p,0
521,195,50p,0
522,94,110p,0
523,231,40p,0
524,698,15p,0
525,197,50p,0
526,76,130p,0
527,85,120p,0
528,205,50p,0
529,76,130p,0
530,232,40p,0
531,76,130p,0
532,95,110p,0
533,157,60p,0
534,204,50p,0
535,92,110p,0
536,197,50p,0
537,94,110p,0
538,422,25p,0
539,79,130p,0
540,85,120p,0
541,192,50p,0
542,92,110p,0
543,180,60p,0
544,179,60p,0
545,209,50p,0
546,90,110p,0
547,384,25p,0
548,198,50p,0
549,91,110p,0
550,79,130p,0
551,438,25p,0
552,178,60p,0
553,404,25p,0
554,259,40p,0
555,86,120p,0
556,169,60p,0
557,257,40p,0
558,210,50p,0
559,405,25p,0
560,153,60p,0
561,202,50p,0
562,82,120p,0
563,655,15p,0
564,79,130p,0
565,621,15p,0
566,90,110p,0
567,192,50p,0
568,253,40p,0
569,246,40p,0
570,82,120p,0
571,79,130p,0
572,85,120p,0
573,621,15p,0
574,88,110p,0
575,79,130p,0
576,735,,1
577,84,120p,0
578,164,60p,0
579,80,120p,0
580,89,110p,0
581,692,15p,0
582,831,,1
583,76,130p,0
584,79,130p,0
585,79,130p,0
586,77,130p,0
587,175,60p,0
588,81,120p,0
589,83,120p,0
590,88,110p,0
591,444,25p,0
592,251,40p,0
593,607,15p,0
594,156,60p,0
595,248,40p,0
596,201,50p,0
597,82,120p,0
598,199,50p,0
599,82,120p,0
600,87,110p,0
601,80,120p,0
602,75,130p,0
603,256,40p,0
604,77,130p,0
605,243,40p,0
606,157,60p,0
607,380,25p,0
608,90,110p,0
609,195,50p,0
610,205,50p,0
611,93,110p,0
612,387,25p,0
613,74,130p,0
614,165,60p,0
615,433,25p,0
616,163,60p,0
617,183,50p,0
618,209,50p,0
619,83,120p,0
620,649,15p,0
621,173,60p,0
622,79,130p,0
623,241,40p,0
624,204,50p,0
625,93,110p,0
626,231,40p,0
627,423,25p,0
628,608,15p,0
629,88,110p,0
630,94,110p,0
631,379,25p,0
632,93,110p,0
633,81,120p,0
634,618,15p,0
635,160,60p,0
636,168,60p,0
637,169,60p,0
638,83,120p,0
639,160,60p,0
640,194,50p,0
641,79,130p,0
642,419,25p,0
643,190,50p,0
644,247,40p,0
645,654,15p,0
646,195,50p,0
647,155,60p,0
648,157,60p,0
649,582,15p,0
650,82,120p,0
651,74,130p,0
652,644,15p,0
653,830,,1
654,85,120p,0
655,170,60p,0
656,619,15p,0
657,164,60p,0
658,74,130p,0
659,234,40p,0
660,201,50p,0
661,80,120p,0
662,440,25p,0
663,80,120p,0
664,186,50p,0
665,95,110p,0
666,247,40p,0
667,79,130p,0
668,163,60p,0
669,85,120p,0
670,183,50p,0
671,74,130p,0
672,171,60p,0
673,176,60p,0
674,652,15p,0
675,82,120p,0
676,93,110p,0
677,179,60p,0
678,156,60p,0
679,75,130p,0
680,77,130p,0
681,436,25p,0
682,95,110p,0
683,76,130p,0
684,684,15p,0
685,86,120p,0
686,260,40p,0
687,240,40p,0
688,580,15p,0
689,584,15p,0
690,201,50p,0
691,74,130p,0
692,202,50p,0
693,158,60p,0
694,444,25p,0
695,624,15p,0
696,78,130p,0
697,81,120p,0
698,692,15p,0
699,253,40p,0
700,438,25p,0
701,193,50p,0
702,263,40p,0
703,80,120p,0
704,164,60p,0
705,85,120p,0
706,187,50p,0
707,566,15p,0
708,601,15p,0
709,178,60p,0
710,240,40p,0
711,251,40p,0
712,190,50p,0
713,93,110p,0
714,201,50p,0
715,261,40p,0
716,669,15p,0
717,94,110p,0
718,197,50p,0
719,643,15p,0
720,95,110p,0
721,192,50p,0
722,419,25p,0
723,198,50p,0
724,88,110p,0
725,80,120p,0
726,242,40p,0
727,199,50p,0
728,90,110p,0
729,154,60p,0
730,80,120p,0
731,76,130p,0
732,179,60p,0
733,86,120p,0
734,176,60p,0
735,180,60p,0
736,692,15p,0
737,76,130p,0
738,93,110p,0
739,86,120p,0
740,598,15p,0
741,378,25p,0
742,236,40p,0
743,210,50p,0
744,636,15p,0
745,410,25p,0
746,84,120p,0
747,175,60p,0
748,417,25p,0
749,76,130p,0
750,80,120p,0
751,244,40p,0
752,92,110p,0
753,76,130p,0
754,205,50p,0
755,187,50p,0
756,191,50p,0
757,91,110p,0
758,154,60p,0
759,592,15p,0
760,408,25p,0
761,419,25p,0
762,83,120p,0
763,74,130p,0
764,95,110p,0
765,170,60p,0
766,258,40p,0
767,207,50p,0
768,647,15p,0
769,679,15p,0
770,163,60p,0
771,205,50p,0
772,93,110p,0
773,429,25p,0
774,570,15p,0
775,75,130p,0
776,83,120p,0
777,92,110p,0
778,94,110p,0
779,640,15p,0
780,208,50p,0
781,82,120p,0
782,238,40p,0
783,77,130p,0
784,162,60p,0
785,600,15p,0
786,380,25p,0
787,197,50p,0
788,646,15p,0
789,82,120p,0
790,384,25p,0
791,233,40p,0
792,91,110p,0
793,88,110p,0
794,167,60p,0
795,392,25p,0
796,85,120p,0
797,80,120p,0
798,89,110p,0
799,87,110p,0
800,393,25p,0
801,91,110p,0
802,422,25p,0
803,206,50p,0
804,235,40p,0
805,93,110p,0
806,384,25p,0
807,75,130p,0
808,154,60p,0
809,429,25p,0
810,156,60p,0
811,193,50p,0
812,155,60p,0
