id,weight,spec,outside
1,727,,1
2,669,15p,0
3,682,15p,0
4,257,40p,0
5,626,15p,0
6,244,40p,0
7,242,40p,0
8,680,15p,0
9,174,60p,0
10,373,25p,0
11,179,60p,0
12,580,15p,0
13,413,25p,0
14,172,60p,0
15,404,25p,0
16,687,15p,0
17,601,15p,0
18,155,60p,0
19,246,40p,0
20,386,25p,0
21,420,25p,0
22,235,40p,0
23,262,40p,0
24,262,40p,0
25,158,60p,0
26,180,60p,0
27,591,15p,0
28,175,60p,0
29,372,25p,0
30,429,25p,0
31,409,25p,0
32,165,60p,0
33,246,40p,0
34,431,25p,0
35,178,60p,0
36,245,40p,0
37,381,25p,0
38,174,60p,0
39,692,15p,0
40,402,25p,0
41,433,25p,0
42,264,40p,0
43,165,60p,0
44,261,40p,0
45,166,60p,0
46,625,15p,0
47,673,15p,0
48,413,25p,0
49,432,25p,0
50,155,60p,0
51,178,60p,0
52,165,60p,0
53,261,40p,0
54,175,60p,0
55,262,40p,0
56,599,15p,0
57,414,25p,0
58,250,40p,0
59,255,40p,0
60,438,25p,0
61,679,15p,0
62,234,40p,0
63,417,25p,0
64,244,40p,0
65,158,60p,0
66,611,15p,0
67,387,25p,0
68,155,60p,0
69,250,40p,0
70,172,60p,0
71,249,40p,0
72,242,40p,0
73,600,15p,0
74,604,15p,0
75,435,25p,0
76,670,15p,0
77,257,40p,0
78,394,25p,0
79,690,15p,0
80,158,60p,0
81,164,60p,0
82,244,40p,0
83,577,15p,0
84,394,25p,0
85,236,40p,0
86,246,40p,0
87,444,25p,0
88,577,15p,0
89,235,40p,0
90,572,15p,0
91,231,40p,0
92,387,25p,0
93,615,15p,0
94,409,25p,0
95,255,40p,0
96,167,60p,0
97,165,60p,0
98,154,60p,0
99,660,15p,0
100,396,25p,0
101,423,25p,0
102,153,60p,0
103,659,15p,0
104,421,25p,0
105,372,25p,0
106,236,40p,0
107,166,60p,0
108,442,25p,0
109,178,60p,0
110,381,25p,0
111,688,15p,0
112,241,40p,0
113,369,25p,0
114,679,15p,0
115,416,25p,0
116,168,60p,0
117,395,25p,0
118,172,60p,0
119,263,40p,0
120,659,15p,0
121,265,40p,0
122,602,15p,0
123,696,15p,0
124,388,25p,0
125,257,40p,0
126,644,15p,0
127,179,60p,0
128,649,15p,0
129,167,60p,0
130,173,60p,0
131,432,25p,0
132,182,60p,0
133,373,25p,0
134,179,60p,0
135,177,60p,0
136,387,25p,0
137,173,60p,0
138,578,15p,0
139,651,15p,0
140,421,25p,0
141,160,60p,0
142,259,40p,0
143,444,25p,0
144,678,15p,0
145,156,60p,0
146,176,60p,0
147,256,40p,0
148,420,25p,0
149,252,40p,0
150,248,40p,0
151,396,25p,0
152,373,25p,0
153,174,60p,0
154,241,40p,0
155,409,25p,0
156,575,15p,0
157,409,25p,0
158,174,60p,0
159,259,40p,0
160,265,40p,0
161,241,40p,0
162,641,15p,0
163,377,25p,0
164,430,25p,0
165,428,25p,0
166,414,25p,0
167,240,40p,0
168,153,60p,0
169,436,25p,0
170,254,40p,0
171,438,25p,0
172,428,25p,0
173,595,15p,0
174,179,60p,0
175,412,25p,0
176,374,25p,0
177,173,60p,0
178,260,40p,0
179,260,40p,0
180,163,60p,0
181,170,60p,0
182,247,40p,0
183,182,60p,0
184,681,15p,0
185,158,60p,0
186,410,25p,0
187,411,25p,0
188,175,60p,0
189,612,15p,0
190,576,15p,0
191,663,15p,0
192,387,25p,0
193,666,15p,0
194,652,15p,0
195,253,40p,0
196,156,60p,0
197,177,60p,0
198,602,15p,0
199,265,40p,0
200,169,60p,0
201,664,15p,0
202,371,25p,0
203,234,40p,0
204,423,25p,0
205,444,25p,0
206,390,25p,0
207,726,,1
208,179,60p,0
209,445,25p,0
210,180,60p,0
211,602,15p,0
212,438,25p,0
213,180,60p,0
214,405,25p,0
215,162,60p,0
216,410,25p,0
217,411,25p,0
218,594,15p,0
219,159,60p,0
220,168,60p,0
221,171,60p,0
