id,weight,spec,outside
1,376,25p,0
2,431,25p,0
3,290,35p,0
4,319,30p,0
5,485,20p,0
6,128,,1
7,449,20p,0
8,425,25p,0
9,264,40p,0
10,649,15p,0
11,569,15p,0
12,349,30p,0
13,488,20p,0
14,400,25p,0
15,626,15p,0
16,475,20p,0
17,233,40p,0
18,292,35p,0
19,410,25p,0
20,252,40p,0
21,400,25p,0
22,426,25p,0
23,449,20p,0
24,296,35p,0
25,513,20p,0
26,352,30p,0
27,677,15p,0
28,628,15p,0
29,421,25p,0
30,414,25p,0
31,646,15p,0
32,392,25p,0
33,235,40p,0
34,315,30p,0
35,437,25p,0
36,237,40p,0
37,231,40p,0
38,235,40p,0
39,361,30p,0
40,390,25p,0
41,291,35p,0
42,352,30p,0
43,679,15p,0
44,328,30p,0
45,442,25p,0
46,384,25p,0
47,240,40p,0
48,292,35p,0
49,509,20p,0
50,254,40p,0
51,268,35p,0
52,636,15p,0
53,316,30p,0
54,356,30p,0
55,603,15p,0
56,466,20p,0
57,358,30p,0
58,270,35p,0
59,247,40p,0
60,566,15p,0
61,315,30p,0
62,237,40p,0
63,356,30p,0
64,272,35p,0
65,269,35p,0
66,370,25p,0
67,298,35p,0
68,412,25p,0
69,273,35p,0
70,238,40p,0
71,271,35p,0
72,369,25p,0
73,253,40p,0
74,410,25p,0
75,315,30p,0
76,357,30p,0
77,253,40p,0
78,273,35p,0
79,612,15p,0
80,376,25p,0
81,491,20p,0
82,661,15p,0
83,328,30p,0
84,237,40p,0
85,253,40p,0
86,434,25p,0
87,538,20p,0
88,243,40p,0
89,371,25p,0
90,594,15p,0
91,689,15p,0
92,277,35p,0
93,317,30p,0
94,431,25p,0
95,268,35p,0
96,412,25p,0
97,541,20p,0
98,504,20p,0
99,311,30p,0
100,589,15p,0
101,640,15p,0
102,614,15p,0
103,240,40p,0
104,422,25p,0
105,270,35p,0
106,570,15p,0
107,265,40p,0
108,366,25p,0
109,395,25p,0
110,454,20p,0
111,265,40p,0
112,249,40p,0
113,396,25p,0
114,419,25p,0
115,321,30p,0
116,435,25p,0
117,285,35p,0
118,243,40p,0
119,363,30p,0
120,339,30p,0
121,345,30p,0
122,695,15p,0
123,279,35p,0
124,415,25p,0
125,441,25p,0
126,392,25p,0
127,628,15p,0
128,466,20p,0
129,321,30p,0
130,246,40p,0
131,467,20p,0
132,522,20p,0
133,294,35p,0
134,304,35p,0
135,571,15p,0
136,355,30p,0
137,336,30p,0
138,247,40p,0
139,504,20p,0
140,386,25p,0
141,325,30p,0
142,258,40p,0
143,233,40p,0
144,296,35p,0
145,296,35p,0
146,641,15p,0
147,371,25p,0
148,433,25p,0
149,537,20p,0
150,294,35p,0
151,297,35p,0
152,330,30p,0
153,313,30p,0
154,262,40p,0
155,424,25p,0
156,298,35p,0
157,240,40p,0
158,253,40p,0
159,549,20p,0
160,411,25p,0
161,232,40p,0
162,650,15p,0
163,307,30p,0
164,266,35p,0
165,337,30p,0
166,462,20p,0
167,414,25p,0
168,347,30p,0
169,530,20p,0
170,498,20p,0
171,275,35p,0
172,317,30p,0
173,330,30p,0
174,265,40p,0
175,333,30p,0
176,353,30p,0
177,242,40p,0
178,544,20p,0
179,259,40p,0
180,557,20p,0
181,533,20p,0
182,669,15p,0
183,411,25p,0
184,300,35p,0
185,412,25p,0
186,330,30p,0
187,384,25p,0
188,395,25p,0
