id,weight,spec,outside
1,192,50p,0
2,201,50p,0
3,183,50p,0
4,210,50p,0
5,147,70p,0
6,167,60p,0
7,129,80p,0
8,107,90p,0
9,154,60p,0
10,202,50p,0
11,113,90p,0
12,225,45p,0
13,110,90p,0
14,198,50p,0
15,112,90p,0
16,201,50p,0
17,135,70p,0
18,203,50p,0
19,126,80p,0
20,146,70p,0
21,143,70p,0
22,156,60p,0
23,152,70p,0
24,193,50p,0
25,187,50p,0
26,111,90p,0
27,225,45p,0
28,197,50p,0
29,146,70p,0
30,138,70p,0
31,209,50p,0
32,127,80p,0
33,220,45p,0
34,224,45p,0
35,149,70p,0
36,112,90p,0
37,215,45p,0
38,222,45p,0
39,216,45p,0
40,186,50p,0
41,113,90p,0
42,149,70p,0
43,216,45p,0
44,119,80p,0
45,140,70p,0
46,135,70p,0
47,212,45p,0
48,123,80p,0
49,146,70p,0
50,127,80p,0
51,142,70p,0
52,211,45p,0
53,122,80p,0
54,136,70p,0
55,112,90p,0
56,187,50p,0
57,122,80p,0
58,112,90p,0
59,195,50p,0
60,150,70p,0
61,95,,1
62,198,50p,0
63,140,70p,0
64,217,45p,0
65,229,45p,0
66,194,50p,0
67,136,70p,0
68,117,80p,0
69,213,45p,0
70,207,50p,0
71,215,45p,0
72,148,70p,0
73,220,45p,0
74,188,50p,0
75,151,70p,0
76,225,45p,0
77,133,70p,0
78,226,45p,0
79,121,80p,0
80,194,50p,0
81,149,70p,0
82,128,80p,0
83,178,60p,0
84,169,60p,0
85,149,70p,0
86,201,50p,0
87,178,60p,0
88,225,45p,0
89,137,70p,0
90,198,50p,0
91,147,70p,0
92,165,60p,0
93,173,60p,0
94,173,60p,0
95,152,70p,0
96,150,70p,0
97,141,70p,0
98,141,70p,0
99,117,80p,0
100,133,70p,0
101,148,70p,0
102,208,50p,0
103,214,45p,0
104,112,90p,0
105,147,70p,0
106,178,60p,0
107,215,45p,0
108,174,60p,0
109,112,90p,0
110,227,45p,0
111,121,80p,0
112,155,60p,0
113,136,70p,0
114,152,70p,0
115,166,60p,0
116,127,80p,0
117,167,60p,0
118,145,70p,0
119,223,45p,0
120,110,90p,0
121,114,90p,0
122,206,50p,0
123,193,50p,0
124,123,80p,0
125,110,90p,0
126,135,70p,0
127,229,45p,0
128,109,90p,0
129,223,45p,0
130,219,45p,0
131,142,70p,0
132,159,60p,0
133,149,70p,0
134,113,90p,0
135,173,60p,0
136,106,90p,0
137,196,50p,0
138,159,60p,0
139,189,50p,0
140,112,90p,0
141,128,80p,0
