fish_id,weight,spec,rounds,status,tail_cause,reflow_summary,had_timeout,had_overflow,dwell_time,reflow_reasons
11,355,30p,8,unmatched_tail,批末料道未配盒,超时回流,1,0,489,timeout|timeout|timeout|timeout|timeout|timeout|timeout
104,746,,1,unmatched_outside,规格外,无,0,0,396,
211,694,15p,10,unmatched_tail,批末料道未配盒,超时回流,1,0,289,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
215,554,20p,9,unmatched_tail,批末料道未配盒,超时回流,1,0,285,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
246,499,20p,8,unmatched_tail,批末料道未配盒,超时回流,1,0,254,timeout|timeout|timeout|timeout|timeout|timeout|timeout
251,362,30p,3,unmatched_tail,批末料道未配盒,超时回流,1,0,249,timeout|timeout
255,695,15p,8,unmatched_tail,批末料道未配盒,超时回流,1,0,245,timeout|timeout|timeout|timeout|timeout|timeout|timeout
261,557,20p,8,unmatched_tail,批末料道未配盒,超时回流,1,0,239,timeout|timeout|timeout|timeout|timeout|timeout|timeout
264,806,,1,unmatched_outside,规格外,无,0,0,236,
283,303,35p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,217,timeout
284,350,30p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,216,timeout
285,679,15p,7,unmatched_tail,批末料道未配盒,超时回流,1,0,215,timeout|timeout|timeout|timeout|timeout|timeout
289,379,25p,5,unmatched_tail,批末料道未配盒,超时回流,1,0,211,timeout|timeout|timeout|timeout
293,299,35p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,207,timeout
300,370,25p,5,unmatched_tail,批末料道未配盒,超时回流,1,0,200,timeout|timeout|timeout|timeout
307,653,15p,7,unmatched_tail,批末料道未配盒,超时回流,1,0,193,timeout|timeout|timeout|timeout|timeout|timeout
310,688,15p,7,unmatched_tail,批末料道未配盒,超时回流,1,0,190,timeout|timeout|timeout|timeout|timeout|timeout
316,360,30p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,184,timeout
317,295,35p,1,unmatched_tail,批末料道未配盒,无,0,0,183,
318,682,15p,6,unmatched_tail,批末料道未配盒,超时回流,1,0,182,timeout|timeout|timeout|timeout|timeout
320,286,35p,1,unmatched_tail,批末料道未配盒,无,0,0,180,
321,690,15p,6,unmatched_tail,批末料道未配盒,超时回流,1,0,179,timeout|timeout|timeout|timeout|timeout
325,536,20p,6,unmatched_tail,批末料道未配盒,超时回流,1,0,175,timeout|timeout|timeout|timeout|timeout
326,372,25p,4,unmatched_tail,批末料道未配盒,超时回流,1,0,174,timeout|timeout|timeout
338,390,25p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,162,timeout
339,392,25p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,161,timeout
341,633,15p,6,unmatched_tail,批末料道未配盒,超时回流,1,0,159,timeout|timeout|timeout|timeout|timeout
342,289,35p,1,unmatched_tail,批末料道未配盒,无,0,0,158,
346,443,25p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,154,timeout
352,290,35p,1,unmatched_tail,批末料道未配盒,无,0,0,148,
355,785,,1,unmatched_outside,规格外,无,0,0,145,
356,408,25p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,144,timeout
357,415,25p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,143,timeout
359,284,35p,1,unmatched_tail,批末料道未配盒,无,0,0,141,
360,317,30p,1,unmatched_tail,批末料道未配盒,无,0,0,140,
361,327,30p,1,unmatched_tail,批末料道未配盒,无,0,0,139,
362,351,30p,1,unmatched_tail,批末料道未配盒,无,0,0,138,
363,344,30p,1,unmatched_tail,批末料道未配盒,无,0,0,137,
365,395,25p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,135,timeout
366,391,25p,1,unmatched_tail,批末料道未配盒,无,0,0,134,
