carton_no,spec,count,weight,small,medium,large,fish_ids
1,15p,8,5013,3,1,4,13|113|146|82|126|12|81|20
2,40p,20,4996,3,1,16,119|136|182|240|102|137|76|143|167|79|172|175|89|97|223|225|232|239|255|256
3,30p,15,5026,1,0,14,216|56|25|63|68|103|139|48|145|212|221|84|24|226|284
4,15p,8,5029,5,0,3,307|320|199|356|268|180|150|275
5,25p,12,4993,0,0,12,299|141|238|242|90|155|382|386|188|327|252|396
6,20p,10,5015,0,0,10,253|11|260|138|364|337|339|306|112|436
7,50p,25,4983,4,3,18,99|293|370|473|5|209|281|30|65|69|72|125|131|157|170|244|246|338|375|384|427|450|451|456|489
8,15p,8,5019,4,0,4,441|481|519|395|85|179|433|248
9,20p,10,4997,1,1,8,497|539|96|286|486|524|117|343|474|120
10,15p,8,5027,4,0,4,554|556|565|577|547|523|555|374
11,30p,15,4983,1,2,12,536|526|357|345|538|453|352|365|371|376|477|417|568|439|589
12,45p,23,5029,11,5,7,78|177|184|261|324|383|476|495|509|534|566|213|326|423|448|604|75|26|35|134|230|235|236
13,25p,12,4985,0,0,12,101|342|585|586|160|463|563|464|545|578|513|399
14,70p,35,4987,10,0,25,38|91|135|140|247|347|359|535|561|620|15|55|98|151|156|162|166|181|189|201|251|263|270|272|346|349|379|391|403|409|415|459|460|580|612
15,20p,10,5012,0,0,10,605|637|607|613|618|621|567|124|312|666
16,35p,17,5005,0,0,17,128|191|116|202|204|80|234|265|315|404|458|496|521|575|628|672|676
17,90p,45,4982,13,2,30,37|22|129|154|185|198|273|308|344|351|414|488|505|443|490|3|58|29|33|34|100|108|127|132|149|165|176|214|237|249|332|358|367|389|445|472|540|553|558|573|633|655|680|692|702
18,60p,30,5029,10,1,19,61|31|118|147|301|333|504|522|632|705|689|8|94|64|4|122|158|173|195|233|266|289|303|457|462|471|485|531|533|574
19,25p,13,5006,7,3,3,645|587|691|629|541|42|549|49|599|543|646|550|703
20,80p,40,4991,10,3,27,6|51|187|264|304|328|394|406|444|487|71|388|595|62|66|36|7|39|10|87|92|93|121|148|169|193|215|220|288|292|330|422|590|593|634|662|677|706|732|741
21,15p,8,4995,4,0,4,668|733|803|653|161|348|757|602
22,30p,15,5025,4,0,11,385|654|584|548|753|724|659|700|674|641|776|777|780|752|821
23,35p,18,4992,11,2,5,211|224|274|283|440|500|588|190|196|765|686|514|564|712|737|763|815|831
24,40p,20,5006,4,0,16,425|651|679|864|279|280|311|355|373|397|420|452|478|482|494|499|516|529|557|569
25,110p,55,4999,13,5,37,2|142|194|257|410|413|454|708|714|729|827|853|917|107|302|449|479|920|40|17|52|77|109|178|192|200|207|218|229|243|250|296|341|377|381|390|392|418|432|435|517|542|552|576|592|647|671|711|720|745|822|835|907|911|961
26,15p,8,5022,3,2,3,878|847|884|996|945|262|825|606
27,20p,10,5003,1,1,8,992|874|759|808|685|940|784|754|817|921
28,100p,50,5028,9,7,34,46|19|83|231|398|520|713|717|804|16|28|278|442|493|551|1045|9|45|47|54|73|114|144|164|205|206|219|245|287|309|310|321|325|329|336|354|369|400|411|416|428|470|503|527|560|608|649|650|681|697
29,140p,70,4991,10,25,35,203|227|429|480|515|643|670|839|887|1013|43|59|74|106|163|210|300|402|426|430|434|465|544|597|616|660|710|715|761|785|870|897|934|978|1056|44|21|1|67|123|153|197|217|298|318|323|368|405|412|475|483|492|501|511|596|601|638|652|661|731|743|749|783|826|918|946|980|998|1011|1015
30,50p,25,4987,3,2,20,570|865|886|758|1009|506|507|512|528|530|571|609|619|744|801|811|872|877|942|1008|1024|1050|1065|1068|1077
31,35p,18,5026,9,1,8,820|152|794|797|882|968|989|1049|1057|898|875|912|985|1020|1032|1080|1081|1090
32,15p,8,5027,5,0,3,1099|1041|1043|1075|1121|688|970|1066
33,45p,23,5028,12,1,10,610|625|709|719|788|836|838|858|893|919|1079|1131|1114|254|285|316|378|401|437|461|525|537|546
