fish_id,weight,spec,rounds,first_in_time,outbound_time,dwell_time,status,reflow_reasons
1,72,140p,3,1,1056,1055,packed,timeout|timeout
2,88,110p,2,2,961,959,packed,timeout
3,112,90p,2,3,702,699,packed,timeout
4,180,60p,4,4,705,701,packed,timeout|timeout|timeout
5,193,50p,4,5,489,484,packed,timeout|timeout|timeout
6,121,80p,3,6,741,735,packed,timeout|timeout
7,131,80p,3,7,741,734,packed,timeout|timeout
8,174,60p,3,8,705,697,packed,timeout|timeout
9,105,100p,2,9,1045,1036,packed,timeout
10,123,80p,3,10,741,731,packed,timeout|timeout
11,472,20p,14,11,446,435,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
12,639,15p,5,12,147,135,packed,timeout|timeout|timeout|timeout
13,596,15p,5,13,147,134,packed,timeout|timeout|timeout|timeout
14,78,130p,2,14,1188,1174,packed,timeout
15,149,70p,3,15,620,605,packed,timeout|timeout
16,98,100p,2,16,1045,1029,packed,timeout
17,90,110p,2,17,961,944,packed,timeout
18,67,150p,2,18,1435,1417,packed,timeout
19,96,100p,2,19,1045,1026,packed,timeout
20,650,15p,5,20,147,127,packed,timeout|timeout|timeout|timeout
21,73,140p,2,21,1056,1035,packed,timeout
22,106,90p,3,22,702,680,packed,timeout|timeout
23,74,130p,2,23,1188,1165,packed,timeout
24,344,30p,8,24,284,260,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout
25,331,30p,7,25,284,259,packed,timeout|timeout|timeout|timeout|timeout|timeout
26,227,45p,4,26,604,578,packed,timeout|timeout|timeout
27,82,120p,2,27,1343,1316,packed,timeout
28,98,100p,2,28,1045,1017,packed,timeout
29,115,90p,2,29,702,673,packed,timeout
30,199,50p,3,30,489,459,packed,timeout|timeout
31,155,60p,3,31,705,674,packed,timeout|timeout
32,67,150p,1,32,1435,1403,packed,
33,114,90p,2,33,702,669,packed,timeout
34,115,90p,2,34,702,668,packed,timeout
35,230,45p,4,35,604,569,packed,timeout|timeout|timeout
36,125,80p,2,36,741,705,packed,timeout
37,106,90p,2,37,702,665,packed,timeout
38,137,70p,2,38,620,582,packed,timeout
39,126,80p,2,39,741,702,packed,timeout
40,94,110p,1,40,961,921,packed,
41,75,130p,1,41,1188,1147,packed,
42,372,25p,22,42,706,664,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
43,71,140p,1,43,1056,1013,packed,
44,73,140p,1,44,1056,1012,packed,
45,100,100p,1,45,1045,1000,packed,
46,96,100p,1,46,1045,999,packed,
47,99,100p,1,47,1045,998,packed,
48,341,30p,7,48,284,236,packed,timeout|timeout|timeout|timeout|timeout|timeout
49,385,25p,21,49,706,657,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
50,719,,1,50,,0,unmatched_outside,
51,121,80p,2,51,741,690,packed,timeout
52,94,110p,1,52,961,909,packed,
53,85,120p,1,53,1343,1290,packed,
54,103,100p,1,54,1045,991,packed,
55,151,70p,2,55,620,565,packed,timeout
56,338,30p,6,56,284,228,packed,timeout|timeout|timeout|timeout|timeout
57,65,150p,1,57,1435,1378,packed,
58,112,90p,1,58,702,644,packed,
59,70,140p,1,59,1056,997,packed,
